vertex_string_list,wpts_y_unreal,wpts_x_unreal,wpts_z_unreal
vert560,-4699.10614299464,70.4534669434048,10
vert561,-4700.00000000004,40.0000001453797,10
vert562,-4701.09133362771,10.3739209947458,10
vert563,-4702.37165936484,-18.4144453513986,10
vert564,-4703.81959615355,-46.3721518830563,10
vert565,-4705.40228044249,-73.5219001521376,10
vert566,-4707.07680271269,-99.900284993604,10
vert567,-4708.7916440038,-125.556039246674,10
vert568,-4710.48811244087,-150.548278476091,10
vert569,-4712.10177976144,-174.944745693454,10
vert570,-4713.56391784318,-198.820056078613,10
vert571,-4714.80293523185,-222.25394170112,10
vert572,-4715.74581366976,-245.329496241749,10
vert573,-4716.31954462466,-268.131419714079,10
vert574,-4716.452565819,-290.74426318613,10
vert575,-4716.07619775971,-313.250673502075,10
vert576,-4715.12608026835,-335.729638004,10
vert577,-4713.54360901169,-358.254729253741,10
vert578,-4711.27737203275,-380.892349754768,10
vert579,-4708.28458628228,-403.699976674147,10
vert580,-4704.5325341506,-426.724406564552,10
vert581,-4699.99999999996,-450.000000124319,10
vert582,-4694.67868303707,-473.546952819145,10
vert583,-4688.57399523295,-497.370244704453,10
vert584,-4681.70429830718,-521.46031356178,10
vert585,-4674.0995257594,-545.794406878087,10
vert586,-4665.79978124088,-570.337959826357,10
vert587,-4656.85393692638,-595.045973251221,10
vert588,-4647.31823188629,-619.864391659609,10
vert589,-4637.25487045912,-644.731481216426,10
vert590,-4626.73062062429,-669.57920774525,10
vert591,-4615.81541237514,-694.334614734066,10
vert592,-4604.58093609234,-718.921201346011,10
vert593,-4593.09924091757,-743.260300435156,10
vert594,-4581.44133312745,-767.272456567308,10
vert595,-4569.67577450786,-790.878804045842,10
vert596,-4557.86728072847,-814.002444942551,10
vert597,-4546.07531971766,-836.56982713353,10
vert598,-4534.35271003767,-858.512122340079,10
vert599,-4522.74421926006,-879.766604174634,10
vert600,-4511.28516234154,-900.278026191727,10
vert601,-4500.00000000004,-919.999999925904,10
vert602,-4488.90096121427,-938.896356012146,10
vert603,-4477.98729300413,-956.94206435323,10
vert604,-4467.24610257833,-974.123036409374,10
vert605,-4456.65382676852,-990.435486752595,10
vert606,-4446.17772558733,-1005.88527764037,10
vert607,-4435.77737578643,-1020.48726359031,10
vert608,-4425.4061644147,-1034.26463595579,10
vert609,-4415.01278237631,-1047.24826750263,10
vert610,-4404.54271798895,-1059.4760569867,10
vert611,-4393.93975054207,-1070.99227373259,10
vert612,-4383.14744385505,-1081.8469022132,10
vert613,-4372.11063983562,-1092.09498663036,10
vert614,-4360.77695203806,-1101.79597549647,10
vert615,-4349.09825922167,-1111.01306621708,10
vert616,-4337.03219890911,-1119.81254967445,10
vert617,-4324.54366094487,-1128.26315481223,10
vert618,-4311.60628105373,-1136.43539322095,10
vert619,-4298.20393439926,-1144.40090372462,10
vert620,-4284.33222914239,-1152.23179696832,10
vert621,-4269.99999999996,-1159.99999999541,10
vert622,-4255.23078005777,-1167.77660289378,10
vert623,-4240.06361976464,-1175.6312582191,10
vert624,-4224.55221578836,-1183.63171508403,10
vert625,-4208.76339513339,-1191.84340610393,10
vert626,-4192.77557813535,-1200.32903636796,10
